district,avg_rainfall,state,groundwater_resource,future_groundwater,groundwater_stress,state_pop,population,availability_score,demand_score,scarcity_score,risk_level
gwalior,0.11087950726122799,madhyapradesh,0.26763291164416625,0.19380567407570173,0.08720231992735579,madhya pradesh,0.1798645248932738,0.18278337862045158,0.15206586340349842,0.7887913599796533,Low
hanumangarh,0.014079218818196852,rajasthan,0.06698091495691161,0.024080839567558604,0.1904566624681449,rajasthan,0.15648677507073447,0.0329502138846198,0.1666777412899576,3.880719703462148,High
harda,0.12930651680641514,madhyapradesh,0.1715860259460025,0.12474485001085067,0.09042444125486979,madhya pradesh,0.047091889098855984,0.14062186950962202,0.060091654745660125,0.39895703685859074,Low
hardoi,0.10952458407545058,uttarpradesh,0.6144998464077044,0.2504299035181945,0.17715808898913266,uttar pradesh,0.3670733863162621,0.3032887586079499,0.3100987971181232,0.9898178233269499,Medium
hassan,0.17113834692865101,karnataka,0.2551349837284959,0.1023529036099032,0.18538914438032747,karnataka,0.15664384160208228,0.17570170497298015,0.16526743243555583,0.8899618474671649,Medium
haveri,0.0963199115152205,karnataka,0.19895843527412785,0.08887686788406202,0.1662028764755851,karnataka,0.14040548782648085,0.12487855555354517,0.14814470442121214,1.0983562495403538,Medium
hazaribagh,0.1743695052822485,jharkhand,0.1120542564019898,0.07746238656343231,0.10275637833562785,jharkhand,0.1528351826123262,0.12660279500252603,0.1378115413293167,1.008848620753099,Medium
hingoli,0.11864849258695985,maharashtra,0.263963816309441,0.11106458835953084,0.1553648320103108,maharashtra,0.10222233244434949,0.15996791843547548,0.11816508231413786,0.6952199179811488,Low
hoshangabad,0.18689210766732542,madhyapradesh,0.6702529685429096,0.5463499401774669,0.06508685081578251,madhya pradesh,0.10803670106142092,0.4397377156830431,0.09515174598772941,0.21157163980169388,Low
hoshiarpur,0.10575096848000821,punjab,0.3075331725011059,0.039926962937269724,0.31374674126365737,punjab,0.13940231506437914,0.14653842802351597,0.1917056429241626,1.2246554749825622,Medium
hyderabad,0.1084860265074808,telangana,0.013393370459473843,0.0,1.0,andhra pradesh,0.3534904471027357,0.04741242174083447,0.547443312971915,9.535276450157944,High
idukki,0.4416057384981985,kerala,0.06542064309944756,0.029311981849543832,0.170743138346173,kerala,0.09601134585396139,0.20506208288397684,0.11843088360162486,0.5506823053765212,Low
